OS and Version	Status	Complete Name
iOS 13.3	VIDEO_OK	Apple iPhone 7 Plus
Android 7.0	VIDEO_OK	Vivo 1714 (Y69)
Android 9	VIDEO_OK	Samsung SM-G9600 (Galaxy S9)
Android 4.2.1	VIDEO_OK	Google Nexus 5
Android 10	VIDEO_OK	OnePlus GM1901 (7)
Windows 10	VIDEO_OK	Microsoft Edge
iOS 13.1.3	VIDEO_OK	Apple iPhone
iOS 13.1.2	VIDEO_OK	Apple iPhone 8 Plus
Android 9	VIDEO_OK	Samsung SM-M305F (Galaxy M30)
Android 5.0.2	VIDEO_OK	Samsung SM-T530 (Galaxy Tab 4 10.1)
Windows 10	VIDEO_OK	Google Chrome
iOS 13.3	VIDEO_OK	Apple iPhone X
Android 9	VIDEO_OK	Samsung SM-M307F (Galaxy M30s)
Android 8.1.0	VIDEO_OK	Xiaomi Redmi 6A
Android 9	VIDEO_OK	Generic Android 9.0
Android 	VIDEO_OK	Opera Mini 5
iOS 	VIDEO_OK	Apple iPhone
Android 8.1.0	VIDEO_OK	Xiaomi Redmi Note 5 Pro
Android 9	VIDEO_OK	Xiaomi Redmi Note 5 Pro
Android 8.0.0	VIDEO_FAILURE	Asus Z01KD (ZENFONE 4 ZE554KL)
Windows XP	VIDEO_OK	Google Chrome
Android 6.0	VIDEO_OK	Vivo 1609 (V5 Lite)
Android 5.1.1	VIDEO_OK	Samsung SM-J200G (Galaxy J2 (2015))
Android 8.1.0	VIDEO_OK	OPPO CPH1909 (A5s)
Android 8.0.0	VIDEO_FAILURE	Samsung SM-G930F (Galaxy S7)
Android 8.1.0	VIDEO_OK	OPPO CPH1893 (R17 Neo)
Android 8.1.0	VIDEO_OK	Samsung SM-J710F (Galaxy J7 (2016))
Android 9	VIDEO_OK	Samsung SM-A505F (Galaxy A50)
Android 10	VIDEO_OK	Asus Z01RD (Zenfone 5)
Android 5.1.1	VIDEO_OK	OPPO A37fw
Android 9	VIDEO_OK	Asus X01BDA (Zenfone Max Pro M2)
Windows 10	VIDEO_OK	Mozilla Firefox
Android 9	VIDEO_OK	Samsung SM-A750GN (Galaxy A7 (2018))
iOS 13.3	VIDEO_OK	Apple iPhone
Windows 10	VIDEO_OK	Microsoft Edge
iOS 13.3	VIDEO_OK	Apple iPhone 7 Plus
Android 7.0	VIDEO_OK	Tecno W1
Android 6.0.1	VIDEO_OK	Huawei KII-L21 (GR5)
Android 8.1.0	VIDEO_OK	Vivo 1724 (Y71)
iOS 12.1	VIDEO_OK	Apple iPad
iOS 12.4.4	VIDEO_OK	Apple iPhone
Android 6.0	VIDEO_OK	HTC One A9SX (One A9s)
Android 5.1	VIDEO_OK	Samsung SM-J700F (Galaxy J7 2015)
Android 9	VIDEO_OK	OPPO CPH1931 (A5)
Android 9	VIDEO_OK	Asus X00TDB (Zenfone Max Pro (M1) ZB601KL)
Android 9	VIDEO_OK	Huawei HRY-LX1T (Honor 20 lite)
Windows 10	VIDEO_OK	Microsoft Edge
Android 9	VIDEO_OK	Vivo 1818 (V15 Pro)
Android 8.0.0	VIDEO_FAILURE	Huawei RNE-L22 (Mate 10 Lite)
Android 9	VIDEO_OK	itel L5503
iOS 13.1.3	VIDEO_OK	Apple iPhone XR
iOS 12.4.1	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	Samsung SM-A7050 (Galaxy A70)
iOS 12.4	VIDEO_OK	Apple iPhone 7
Android 6.0.1	VIDEO_OK	Generic Android 6.0
iOS 13.2	VIDEO_OK	Apple iPhone 7 Plus
Android 9	VIDEO_OK	OPPO CPH1943 (A5)
macOS 10.15	VIDEO_OK	Apple Safari
Android 10	VIDEO_OK	Xiaomi MI 9
iOS 13.3	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	Generic Android 9.0
iOS 13.3	VIDEO_OK	Apple iPhone
Android 8.1.0	VIDEO_OK	Mozilla Firefox for Android
